,Div,B365H,B365D,B365A,VCH,VCD,VCA
1375,E0,1.33,5.0,9.5,1.33,5.5,10.0
1376,E0,5.5,3.6,1.67,6.0,3.8,1.67
1377,E0,1.73,3.6,5.0,1.75,3.6,5.5
1378,E0,4.5,3.5,1.83,4.6,3.6,1.85
1379,E0,3.25,3.4,2.2,3.3,3.4,2.3
1380,E0,2.38,3.3,3.0,2.38,3.4,3.12
1381,E0,1.83,3.5,4.5,1.85,3.5,4.75
1382,E0,2.1,3.3,3.6,2.05,3.3,4.0
1383,E0,1.62,3.75,6.0,1.67,3.8,6.0
1384,E0,1.91,3.4,4.2,1.95,3.5,4.2
1385,E0,1.44,4.5,7.0,1.44,4.75,8.0
1386,E0,1.4,4.5,8.5,1.44,4.6,8.5
1387,E0,5.0,4.0,1.67,5.5,4.0,1.67
1388,E0,2.1,3.2,3.75,2.15,3.3,3.8
1389,E0,1.57,4.0,6.0,1.62,4.0,6.5
1390,E0,2.5,3.25,2.9,2.5,3.3,3.0
1391,E0,8.5,4.5,1.4,8.5,4.6,1.44
1392,E0,1.62,4.0,5.5,1.62,4.0,6.0
1393,E0,2.0,3.5,3.75,2.05,3.5,3.8
1394,E0,1.22,6.0,15.0,1.25,6.5,15.0
1395,E0,2.5,3.2,2.9,2.5,3.25,3.0
1396,E0,2.1,3.4,3.5,2.15,3.4,3.6
1397,E0,3.25,3.4,2.2,3.3,3.6,2.2
1398,E0,1.36,4.75,9.0,1.36,5.0,10.0
1399,E0,1.73,3.6,5.0,1.75,3.8,4.75
1400,E0,2.75,3.25,2.6,2.75,3.3,2.75
1401,E0,1.91,3.6,4.0,1.95,3.75,4.0
1402,E0,2.75,3.25,2.6,2.75,3.3,2.75
1403,E0,5.0,3.6,1.73,5.0,3.6,1.8
1404,E0,2.6,3.2,2.8,2.6,3.3,2.88
1405,E0,1.85,3.4,4.5,1.85,3.5,4.6
1406,E0,4.0,3.6,1.91,4.4,3.75,1.85
1407,E0,1.3,5.25,10.0,1.3,5.5,12.0
1408,E0,1.73,3.6,5.0,1.75,3.75,5.0
1409,E0,1.73,3.6,5.0,1.73,3.8,5.0
1410,E0,2.1,3.25,3.75,2.1,3.4,3.8
1411,E0,6.5,4.0,1.53,7.0,4.0,1.57
1412,E0,1.83,3.6,4.33,1.83,3.8,4.5
1413,E0,1.5,4.0,7.5,1.53,4.0,8.0
1414,E0,3.4,3.3,2.2,3.6,3.4,2.2
1415,E0,1.91,3.4,4.2,1.95,3.5,4.33
1416,E0,2.2,3.2,3.6,2.25,3.3,3.75
1417,E0,1.44,4.33,7.5,1.44,4.4,8.5
1418,E0,2.38,3.2,3.1,2.38,3.25,3.3
1419,E0,2.25,3.4,3.2,2.25,3.4,3.4
1420,E0,1.73,3.6,5.0,1.73,3.75,5.5
1421,E0,1.36,4.75,9.0,1.36,5.0,10.0
1422,E0,2.6,3.2,2.8,2.62,3.4,2.75
1423,E0,2.25,3.3,3.25,2.25,3.3,3.5
1424,E0,2.8,3.2,2.6,2.88,3.3,2.6
1425,E0,3.0,3.3,2.38,3.1,3.3,2.5
1426,E0,10.0,5.5,1.3,11.0,6.0,1.3
1427,E0,1.53,4.0,6.5,1.53,4.0,7.0
1428,E0,1.83,3.5,4.5,1.91,3.5,4.4
1429,E0,1.8,3.6,4.5,1.83,3.8,4.4
1430,E0,2.0,3.25,4.0,2.05,3.3,4.0
1431,E0,1.36,4.75,9.0,1.4,4.75,9.0
1432,E0,2.2,3.25,3.4,2.2,3.25,3.6
1433,E0,1.57,4.0,6.0,1.62,4.2,6.0
1434,E0,5.0,3.6,1.73,5.0,3.75,1.8
1435,E0,2.1,3.3,3.6,2.15,3.3,3.8
1436,E0,1.62,3.75,6.0,1.67,3.8,6.0
1437,E0,2.63,3.2,2.75,2.62,3.25,2.88
1438,E0,1.25,6.0,11.0,1.22,6.5,15.0
1439,E0,2.5,3.25,2.88,2.6,3.25,3.0
1440,E0,1.83,3.6,4.33,1.85,3.6,4.6
1441,E0,1.95,3.4,4.0,2.0,3.5,4.2
1442,E0,5.5,3.6,1.67,5.5,3.75,1.73
1443,E0,3.0,3.3,2.38,3.12,3.3,2.4
1444,E0,4.5,3.6,1.8,4.75,3.75,1.8
1445,E0,3.0,3.25,2.4,3.2,3.3,2.38
1446,E0,1.53,4.2,6.0,1.57,4.4,6.0
1447,E0,1.5,4.0,7.0,1.53,4.0,7.5
1448,E0,2.0,3.3,4.0,2.0,3.4,4.2
1449,E0,2.2,3.25,3.4,2.25,3.3,3.6
1450,E0,1.2,6.0,17.0,1.22,6.5,17.0
1451,E0,1.44,4.33,7.5,1.44,4.4,8.5
1452,E0,2.2,3.2,3.5,2.25,3.3,3.5
1453,E0,1.73,3.6,5.0,1.75,3.6,5.5
1454,E0,2.6,3.25,2.8,2.62,3.3,2.88
1455,E0,1.83,3.6,4.33,1.83,3.75,4.6
1456,E0,8.5,5.0,1.36,8.5,5.0,1.4
1457,E0,2.6,3.2,2.8,2.6,3.3,2.88
1458,E0,2.25,3.2,3.4,2.3,3.3,3.4
1459,E0,2.3,3.5,3.0,2.38,3.5,3.1
1460,E0,1.67,3.75,5.5,1.7,3.75,5.5
1461,E0,5.5,3.6,1.7,5.5,3.75,1.7
1462,E0,2.25,3.3,3.25,2.3,3.4,3.3
1463,E0,1.73,3.6,5.0,1.7,3.8,5.25
1464,E0,5.5,3.6,1.67,5.5,4.0,1.67
1465,E0,1.2,6.5,15.0,1.22,6.5,17.0
1466,E0,2.88,3.4,2.4,2.88,3.4,2.6
1467,E0,1.8,3.6,4.5,1.85,3.6,4.6
1468,E0,2.88,3.5,2.38,3.0,3.5,2.4
1469,E0,1.2,6.5,15.0,1.2,7.0,15.0
1470,E0,1.44,4.33,7.5,1.44,4.4,8.5
1471,E0,1.44,4.33,7.5,1.44,4.5,8.0
1472,E0,2.1,3.25,3.75,2.1,3.3,4.0
1473,E0,1.57,4.0,6.0,1.57,4.2,6.5
1474,E0,2.5,3.25,2.88,2.6,3.25,3.0
1475,E0,4.5,3.8,1.75,5.0,3.8,1.75
1476,E0,3.6,3.3,2.1,3.8,3.4,2.15
1477,E0,1.8,3.4,5.0,1.83,3.5,5.0
1478,E0,1.8,3.5,4.75,1.8,3.3,4.6
1479,E0,1.91,3.5,4.0,2.05,3.5,4.0
1480,E0,2.63,3.4,2.63,2.75,3.5,2.62
1481,E0,1.44,4.33,7.5,1.5,4.5,7.5
1482,E0,2.6,3.2,2.8,2.62,3.25,2.88
1483,E0,2.38,3.3,3.0,2.38,3.4,3.2
1484,E0,2.8,3.25,2.6,2.88,3.3,2.62
1485,E0,2.5,3.25,2.88,2.6,3.3,2.88
1486,E0,2.1,3.3,3.6,2.1,3.3,4.0
1487,E0,1.44,4.33,7.5,1.5,4.4,7.5
1488,E0,1.4,4.5,9.0,1.4,4.75,9.0
1489,E0,1.8,3.6,4.5,1.8,3.6,4.75
1490,E0,1.83,3.5,4.5,1.8,3.6,5.0
1491,E0,2.7,3.2,2.7,2.75,3.3,2.75
1492,E0,1.91,3.4,4.2,1.95,3.5,4.33
1493,E0,1.3,5.5,10.0,1.3,6.0,10.5
1494,E0,1.95,3.6,3.8,2.0,3.6,4.0
1495,E0,2.38,3.25,3.1,2.38,3.3,3.25
1496,E0,5.5,3.75,1.67,5.5,4.0,1.67
1497,E0,2.1,3.4,3.5,2.25,3.4,3.5
1498,E0,2.88,3.25,2.5,3.0,3.3,2.5
1499,E0,1.91,3.4,4.2,1.91,3.4,4.4
1500,E0,5.0,3.6,1.73,5.5,3.6,1.73
1501,E0,2.2,3.4,3.25,2.2,3.6,3.4
1502,E0,2.5,3.25,2.88,2.5,3.4,2.88
1503,E0,2.63,3.25,2.75,2.75,3.3,2.75
1504,E0,1.36,5.0,8.5,1.36,5.25,9.0
1505,E0,2.2,3.25,3.4,2.25,3.3,3.6
1506,E0,1.25,6.0,11.0,1.25,6.5,13.0
1507,E0,1.73,3.8,4.75,1.75,3.75,5.0
1508,E0,2.1,3.4,3.5,2.15,3.5,3.6
1509,E0,1.36,4.75,9.0,1.4,4.75,9.0
1510,E0,3.2,3.4,2.25,3.25,3.4,2.3
1511,E0,5.0,3.75,1.7,5.25,3.8,1.7
1512,E0,3.1,3.25,2.38,3.1,3.4,2.38
1513,E0,3.75,3.6,1.95,3.75,3.75,2.0
1514,E0,1.6,4.0,5.5,1.62,4.2,5.5
1515,E0,2.0,3.5,3.75,2.05,3.5,3.75
1516,E0,2.75,3.6,2.4,2.75,3.6,2.5
1517,E0,1.53,4.0,6.5,1.53,4.4,6.5
1518,E0,2.0,3.5,3.75,2.0,3.6,4.0
1519,E0,2.2,3.0,3.75,2.15,3.12,4.0
1520,E0,2.2,3.2,3.5,2.15,3.4,3.6
1521,E0,2.2,3.2,3.5,2.15,3.3,3.75
1522,E0,1.57,3.6,7.0,1.53,4.0,7.5
1523,E0,3.75,3.25,2.1,3.8,3.4,2.1
1524,E0,2.4,3.25,3.0,2.38,3.3,3.3
1525,E0,2.2,3.2,3.5,2.2,3.4,3.5
1526,E0,5.5,3.5,1.7,5.5,3.75,1.7
1527,E0,6.5,4.0,1.53,7.0,4.2,1.53
1528,E0,1.29,5.0,13.0,1.25,6.0,13.0
1529,E0,2.5,3.25,2.9,2.5,3.12,3.0
1530,E0,1.73,3.4,5.5,1.73,3.6,5.5
1531,E0,1.3,5.5,10.0,1.3,5.5,11.0
1532,E0,1.53,3.8,7.0,1.53,4.0,8.0
1533,E0,2.2,3.25,3.4,2.2,3.3,3.8
1534,E0,2.1,3.3,3.6,2.15,3.25,3.8
1535,E0,4.75,3.5,1.8,5.0,3.6,1.8
1536,E0,2.6,3.3,2.75,2.6,3.3,2.88
1537,E0,2.38,3.25,3.1,2.38,3.3,3.25
1538,E0,1.67,3.75,5.5,1.67,3.8,6.0
1539,E0,2.1,3.25,3.75,2.1,3.3,4.0
1540,E0,3.3,3.25,2.25,3.4,3.3,2.3
1541,E0,1.2,6.5,15.0,1.22,6.5,17.0
1542,E0,1.4,4.5,8.5,1.44,4.6,9.0
1543,E0,2.38,3.3,3.0,2.4,3.3,3.1
1544,E0,2.25,3.3,3.25,2.38,3.3,3.3
1545,E0,1.5,4.33,6.5,1.5,4.4,7.5
1546,E0,2.1,3.25,3.75,2.15,3.3,3.75
1547,E0,2.88,3.3,2.5,3.0,3.4,2.5
1548,E0,2.1,3.25,3.75,2.1,3.3,3.8
1549,E0,1.36,4.75,9.0,1.36,5.0,10.0
1550,E0,9.0,4.5,1.4,9.0,4.75,1.4
1551,E0,2.0,3.4,3.8,2.1,3.25,4.0
1552,E0,1.17,7.0,17.0,1.18,7.5,19.0
1553,E0,3.25,3.3,2.25,3.5,3.3,2.25
1554,E0,5.0,3.75,1.7,5.4,3.75,1.73
1555,E0,3.0,3.25,2.4,3.12,3.25,2.4
1556,E0,1.67,3.6,5.5,1.7,3.75,6.0
1557,E0,2.5,3.25,2.88,2.6,3.4,2.88
1558,E0,2.4,3.25,3.0,2.5,3.25,3.12
1559,E0,1.91,3.4,4.2,1.95,3.5,4.33
1560,E0,4.2,3.4,1.91,4.6,3.5,1.8
1561,E0,1.8,3.6,4.6,1.8,3.6,5.0
1562,E0,1.5,4.0,7.0,1.53,4.0,8.0
1563,E0,2.63,3.2,2.75,2.75,3.3,2.75
1564,E0,1.91,3.4,4.2,1.95,3.5,4.33
1565,E0,6.5,3.8,1.57,6.5,4.0,1.57
1566,E0,1.83,3.5,4.5,1.85,3.6,4.6
1567,E0,2.4,3.2,3.1,2.38,3.25,3.3
1568,E0,2.63,3.4,2.63,2.62,3.4,2.75
1569,E0,1.44,4.5,7.0,1.44,4.6,8.5
1570,E0,1.2,6.5,15.0,1.2,7.0,19.0
1571,E0,1.36,4.5,10.0,1.4,4.75,10.0
1572,E0,1.44,4.33,7.5,1.44,4.5,8.5
1573,E0,1.83,3.5,4.5,1.85,3.5,4.75
1574,E0,6.5,4.0,1.53,7.0,4.0,1.53
1575,E0,2.3,3.25,3.25,2.3,3.3,3.3
1576,E0,4.0,3.5,1.91,4.33,3.4,1.95
1577,E0,2.3,3.25,3.2,2.38,3.3,3.3
1578,E0,2.5,3.4,2.8,2.6,3.3,2.88
1579,E0,1.62,3.75,6.0,1.67,3.8,6.0
1580,E0,6.5,3.75,1.57,6.5,4.0,1.57
1581,E0,3.1,3.2,2.4,3.1,3.25,2.5
1582,E0,1.17,7.0,17.0,1.17,8.0,19.0
1583,E0,2.25,3.4,3.2,2.3,3.4,3.4
1584,E0,2.5,3.25,2.88,2.5,3.3,3.1
1585,E0,6.5,4.0,1.53,7.0,4.4,1.53
1586,E0,2.0,3.3,4.0,2.0,3.5,4.0
1587,E0,2.63,3.25,2.75,2.62,3.25,2.88
1588,E0,2.1,3.4,3.5,2.15,3.5,3.5
1589,E0,1.36,4.5,10.0,1.36,5.0,10.0
1590,E0,3.0,3.3,2.4,3.0,3.3,2.5
1591,E0,1.33,5.0,10.0,1.36,5.0,10.0
1592,E0,2.2,3.3,3.4,2.2,3.4,3.5
1593,E0,1.83,3.5,4.5,1.85,3.5,4.6
1594,E0,2.2,3.2,3.5,2.2,3.25,3.75
1595,E0,2.3,3.3,3.2,2.38,3.4,3.2
1596,E0,1.44,4.33,7.5,1.44,4.5,8.5
1597,E0,3.0,3.3,2.4,3.0,3.4,2.4
1598,E0,2.0,3.3,4.0,2.0,3.5,4.0
1599,E0,2.0,3.3,4.0,2.05,3.3,4.0
1600,E0,2.2,3.2,3.5,2.25,3.3,3.5
1601,E0,1.29,5.5,11.0,1.3,5.5,12.0
1602,E0,1.57,3.8,6.5,1.57,4.0,6.5
1603,E0,2.0,3.4,3.8,2.0,3.4,4.0
1604,E0,1.53,4.0,6.5,1.57,4.0,7.0
1605,E0,4.0,3.5,1.91,4.33,3.6,1.85
1606,E0,2.25,3.25,3.3,2.38,3.2,3.3
1607,E0,2.0,3.4,3.8,2.1,3.4,3.8
1608,E0,9.5,5.0,1.33,10.0,5.0,1.36
1609,E0,1.62,4.0,5.5,1.62,4.0,6.0
1610,E0,4.5,3.6,1.8,4.75,3.8,1.75
1611,E0,1.17,7.0,19.0,1.17,8.0,21.0
1612,E0,1.91,3.6,4.0,1.95,3.6,4.0
1613,E0,2.1,3.3,3.6,2.15,3.3,3.75
1614,E0,2.1,3.3,3.6,2.1,3.4,3.8
1615,E0,4.0,3.3,2.0,4.0,3.4,2.05
1616,E0,2.88,3.25,2.5,3.12,3.3,2.5
1617,E0,1.36,4.75,9.0,1.4,5.0,9.0
1618,E0,2.1,3.2,3.8,2.15,3.3,3.75
1619,E0,1.4,4.5,8.5,1.4,5.0,8.5
1620,E0,1.83,3.5,4.5,1.85,3.6,4.6
1621,E0,7.5,4.33,1.44,7.5,4.6,1.44
1622,E0,1.29,5.5,10.0,1.3,5.5,11.0
1623,E0,1.25,5.5,13.0,1.25,6.5,13.0
1624,E0,2.25,3.25,3.3,2.3,3.4,3.3
1625,E0,10.0,5.0,1.33,10.0,5.0,1.36
1626,E0,2.4,3.3,3.0,2.4,3.3,3.2
1627,E0,3.25,3.3,2.25,3.25,3.4,2.3
1628,E0,1.91,3.3,4.33,1.91,3.5,4.6
1629,E0,1.57,3.75,6.5,1.62,3.8,7.0
1630,E0,1.3,5.5,10.0,1.3,5.5,11.0
1631,E0,5.5,3.6,1.67,5.5,3.8,1.7
1632,E0,1.83,3.5,4.5,1.83,3.6,4.75
1633,E0,2.3,3.25,3.2,2.38,3.3,3.25
1634,E0,6.5,4.2,1.5,7.5,4.2,1.5
1635,E0,2.0,3.4,3.8,2.05,3.5,4.0
1636,E0,2.5,3.25,2.88,2.5,3.3,2.88
1637,E0,1.83,3.5,4.5,1.85,3.6,4.75
1638,E0,1.57,4.0,6.0,1.53,4.33,7.0
1639,E0,1.44,4.2,8.0,1.44,4.4,8.0
1640,E0,3.1,3.25,2.38,3.12,3.3,2.38
1641,E0,1.22,6.0,15.0,1.22,6.5,15.0
1642,E0,1.4,4.5,8.5,1.4,4.75,9.5
1643,E0,2.1,3.4,3.5,2.2,3.5,3.5
1644,E0,1.83,3.5,4.5,1.83,3.6,5.0
1645,E0,1.67,3.6,5.5,1.7,3.8,5.5
1646,E0,4.0,3.6,1.91,4.0,3.75,1.91
1647,E0,2.75,3.2,2.63,2.88,3.4,2.6
1648,E0,2.2,3.25,3.4,2.25,3.4,3.4
1649,E0,5.0,3.6,1.73,5.5,3.75,1.7
1650,E0,2.1,3.4,3.5,2.2,3.4,3.5
1651,E0,1.17,7.0,17.0,1.2,7.5,17.0
1652,E0,3.5,3.4,2.1,3.6,3.5,2.1
1653,E0,2.25,3.3,3.25,2.25,3.4,3.4
1654,E0,1.3,5.0,12.0,1.3,5.0,12.0
1655,E0,6.0,4.0,1.57,6.5,4.0,1.57
1656,E0,1.67,3.6,5.5,1.73,3.6,5.5
1657,E0,2.4,3.3,3.0,2.4,3.3,3.12
1658,E0,3.5,3.4,2.1,3.5,3.4,2.2
1659,E0,1.53,4.0,6.5,1.57,4.2,6.5
1660,E0,2.5,3.3,2.88,2.5,3.3,3.0
1661,E0,1.33,5.0,10.0,1.3,5.5,12.0
1662,E0,1.22,6.0,15.0,1.25,6.5,15.0
1663,E0,2.4,3.4,2.88,2.4,3.4,3.0
1664,E0,2.63,3.25,2.75,2.62,3.25,2.88
1665,E0,1.67,3.8,5.25,1.7,3.8,5.5
1666,E0,3.75,3.5,2.0,3.75,3.5,2.1
1667,E0,1.83,3.5,4.5,1.91,3.6,4.5
1668,E0,2.4,3.3,3.0,2.4,3.5,3.0
1669,E0,2.38,3.3,3.0,2.4,3.5,3.0
1670,E0,1.62,3.75,6.0,1.62,4.0,6.0
1671,E0,1.62,3.75,6.0,1.62,3.8,6.0
1672,E0,1.8,3.6,4.5,1.83,3.6,5.0
1673,E0,9.0,4.75,1.36,9.5,5.0,1.36
1674,E0,2.5,3.25,2.88,2.5,3.3,3.0
1675,E0,4.2,3.4,1.91,4.5,3.5,1.91
1676,E0,1.73,3.75,4.5,1.7,3.8,5.4
1677,E0,7.5,4.33,1.44,7.5,4.5,1.5
1678,E0,1.36,4.75,9.0,1.36,5.0,9.0
1679,E0,2.1,3.4,3.5,2.15,3.4,3.6
1680,E0,2.0,3.5,3.75,2.05,3.5,3.8
1681,E0,5.0,3.6,1.73,5.0,3.75,1.75
1682,E0,1.57,3.75,6.5,1.62,3.8,7.0
1683,E0,5.0,3.6,1.73,5.4,3.8,1.73
1684,E0,1.22,6.0,15.0,1.22,6.5,17.0
1685,E0,2.0,3.5,3.75,2.0,3.5,4.2
1686,E0,2.5,3.3,2.88,2.5,3.3,3.0
1687,E0,7.0,4.0,1.5,7.5,4.0,1.53
1688,E0,2.6,3.4,2.7,2.6,3.5,2.75
1689,E0,2.5,3.4,2.8,2.5,3.5,2.88
1690,E0,1.3,5.0,12.0,1.3,5.0,12.0
1691,E0,1.25,5.5,13.0,1.25,6.0,15.0
1692,E0,1.14,7.5,21.0,1.17,8.0,21.0
1693,E0,1.91,3.4,4.2,1.95,3.5,4.2
1694,E0,2.4,3.25,3.0,2.4,3.3,3.1
1695,E0,7.0,4.5,1.44,8.0,4.6,1.44
1696,E0,1.22,6.0,15.0,1.22,6.0,15.0
1697,E0,4.5,3.6,1.8,4.5,3.75,1.83
1698,E0,2.0,3.4,3.8,2.05,3.4,4.0
1699,E0,1.53,4.0,6.5,1.53,4.2,7.0
1700,E0,1.25,5.5,13.0,1.29,6.0,13.0
1701,E0,2.2,3.25,3.4,2.25,3.4,3.4
1702,E0,1.29,5.0,13.0,1.29,6.0,13.0
1703,E0,1.13,8.0,26.0,1.12,9.5,29.0
1704,E0,2.6,3.25,2.75,2.6,3.4,2.88
1705,E0,1.67,3.6,5.5,1.73,3.8,5.4
1706,E0,5.5,3.6,1.67,5.4,3.8,1.7
1707,E0,6.5,4.0,1.53,6.5,4.0,1.57
1708,E0,2.6,3.25,2.75,2.62,3.3,2.88
1709,E0,1.83,3.4,4.75,1.83,3.5,5.0
1710,E0,2.5,3.25,2.88,2.5,3.4,2.88
1711,E0,4.0,3.5,1.91,4.0,3.6,1.95
1712,E0,2.1,3.4,3.5,2.15,3.4,3.6
1713,E0,6.0,4.0,1.57,7.0,4.2,1.53
1714,E0,1.91,3.4,4.2,1.91,3.5,4.4
1715,E0,1.33,5.0,10.0,1.33,5.0,11.0
1716,E0,2.63,3.25,2.75,2.62,3.3,2.75
1717,E0,1.5,4.0,7.0,1.5,4.0,7.0
1718,E0,5.0,3.6,1.73,5.0,3.5,1.73
1719,E0,1.53,3.8,7.0,1.57,4.0,7.0
1720,E0,2.4,3.25,3.0,2.5,3.2,2.88
1721,E0,3.0,3.3,2.38,2.88,3.25,2.5
1722,E0,1.4,4.5,8.5,1.36,4.75,9.0
1723,E0,1.4,4.33,9.0,1.4,4.33,8.5
1724,E0,1.14,8.0,17.0,1.14,7.5,21.0
1725,E0,1.25,5.5,13.0,1.25,6.0,11.0
1726,E0,2.0,3.4,3.8,2.0,3.4,3.8
1727,E0,1.73,3.6,5.0,1.75,3.6,4.75
1728,E0,4.75,3.5,1.8,5.0,3.6,1.73
1729,E0,9.0,4.33,1.4,8.0,4.6,1.4
1730,E0,6.0,3.75,1.62,6.5,4.0,1.615
1731,E0,1.53,4.0,6.5,1.571,4.0,7.0
1732,E0,2.0,3.4,3.8,2.0,3.5,4.0
1733,E0,5.5,4.0,1.62,6.0,4.2,1.615
1734,E0,2.0,3.4,3.8,2.05,3.5,4.0
1735,E0,1.91,3.4,4.2,2.0,3.5,4.2
1736,E0,1.91,3.4,4.2,1.909,3.4,4.75
1737,E0,2.5,3.25,2.88,2.6,3.3,2.875
1738,E0,2.8,3.4,2.5,2.875,3.4,2.5
1739,E0,1.91,3.6,4.0,1.85,3.8,4.333
1740,E0,4.33,3.5,1.85,4.75,3.6,1.85
1741,E0,1.33,5.0,10.0,1.33,5.0,11.0
1742,E0,4.0,3.25,2.0,4.2,3.3,2.05
1743,E0,1.22,6.0,15.0,1.22,6.5,17.0
1744,E0,5.0,3.8,1.7,5.4,3.8,1.7
1745,E0,1.8,3.5,4.75,1.8,3.6,5.0
1746,E0,2.63,3.3,2.7,2.62,3.4,2.75
1747,E0,5.0,3.75,1.7,5.5,3.8,1.7
1748,E0,1.83,3.5,4.5,1.85,3.6,4.6
1749,E0,1.91,3.5,4.2,1.91,3.6,4.5
1750,E0,1.29,5.5,11.0,1.29,6.0,13.0
1751,E0,1.3,5.5,10.0,1.29,5.5,13.0
1752,E0,2.0,3.5,3.75,2.05,3.6,3.8
1753,E0,1.91,3.6,4.0,1.91,3.6,4.2
1754,E0,2.25,3.25,3.3,2.3,3.3,3.5
1755,E0,2.1,3.3,3.6,2.15,3.4,3.8
1756,E0,3.5,3.4,2.1,3.6,3.4,2.2
1757,E0,2.5,3.3,2.88,2.62,3.3,2.88
1758,E0,2.0,3.4,3.8,2.1,3.4,3.8
1759,E0,2.0,3.4,3.8,2.1,3.4,3.8
1760,E0,2.38,3.3,3.0,2.4,3.4,3.12
1761,E0,2.0,3.5,3.75,2.05,3.6,3.75
1762,E0,3.25,3.3,2.25,3.3,3.3,2.3
1763,E0,1.91,3.5,4.0,1.95,3.5,4.0
1764,E0,1.85,3.6,4.33,1.9,3.6,4.33
1765,E0,3.5,3.4,2.1,3.75,3.4,2.1
1766,E0,1.83,3.5,4.5,1.85,3.6,4.6
1767,E0,1.44,4.33,7.5,1.5,4.33,7.5
1768,E0,5.5,3.6,1.67,5.5,3.75,1.7
1769,E0,2.5,3.25,2.88,2.3,3.3,3.1
1770,E0,1.29,5.5,11.0,1.3,6.0,11.0
1771,E0,1.17,7.0,17.0,1.17,8.0,19.0
1772,E0,1.57,4.0,6.0,1.6,4.0,6.5
1773,E0,2.63,3.25,2.75,2.7,3.3,2.8
1774,E0,2.4,3.25,3.0,2.5,3.3,3.1
1775,E0,2.75,3.25,2.63,2.8,3.3,2.63
1776,E0,2.5,3.4,2.75,2.5,3.5,2.9
1777,E0,6.5,4.0,1.53,6.5,4.4,1.55
1778,E0,2.1,3.4,3.5,2.25,3.3,3.6
1779,E0,2.38,3.4,3.0,2.4,3.4,3.1
1780,E0,2.0,3.5,3.75,2.05,3.6,3.8
1781,E0,1.13,8.5,21.0,1.13,10.0,23.0
1782,E0,3.1,3.25,2.38,3.2,3.3,2.38
1783,E0,1.83,3.5,4.5,1.87,3.6,4.5
1784,E0,4.2,3.4,1.91,4.1,3.5,2.0
1785,E0,2.5,3.25,2.88,2.5,3.3,3.0
1786,E0,1.57,3.75,6.5,1.62,4.0,6.25
1787,E0,2.1,3.4,3.5,2.1,3.4,3.75
1788,E0,2.88,3.4,2.4,2.9,3.4,2.4
1789,E0,2.5,3.25,2.88,2.5,3.3,3.0
1790,E0,2.5,3.25,2.88,2.5,3.4,3.0
1791,E0,1.4,4.5,8.5,1.4,4.75,9.5
1792,E0,2.88,3.25,2.5,2.9,3.3,2.5
1793,E0,3.8,3.4,2.0,4.1,3.4,2.0
1794,E0,2.38,3.3,3.0,2.38,3.5,3.13
1795,E0,1.29,5.5,11.0,1.3,6.0,11.0
1796,E0,1.83,3.6,4.33,1.85,3.7,4.5
1797,E0,6.0,3.75,1.62,6.5,3.9,1.62
1798,E0,1.44,4.33,7.5,1.45,4.5,8.0
1799,E0,1.73,3.4,5.5,1.75,3.5,5.5
1800,E0,1.83,3.5,4.5,1.9,3.5,4.6
1801,E0,2.75,3.3,2.6,2.88,3.4,2.6
1802,E0,1.8,3.6,4.5,1.83,3.75,4.6
1803,E0,9.0,5.0,1.33,10.5,5.25,1.33
1804,E0,2.4,3.4,2.88,2.38,3.4,3.12
1805,E0,3.0,3.4,2.3,3.12,3.4,2.38
1806,E0,1.91,3.6,4.0,1.95,3.6,4.3
1807,E0,5.0,3.6,1.73,4.8,3.7,1.83
1808,E0,1.4,4.5,8.5,1.45,4.5,9.0
1809,E0,1.33,5.0,10.0,1.33,5.2,10.5
1810,E0,2.4,3.4,2.9,2.5,3.5,2.9
1811,E0,1.83,3.6,4.33,1.91,3.7,4.3
1812,E0,1.29,5.5,11.0,1.3,5.5,13.0
1813,E0,1.73,3.75,4.75,1.75,3.8,5.0
1814,E0,6.0,3.75,1.62,6.25,3.8,1.62
1815,E0,2.0,3.4,3.8,2.1,3.4,3.9
1816,E0,2.2,3.25,3.4,2.25,3.3,3.6
1817,E0,2.3,3.4,3.1,2.38,3.3,3.3
1818,E0,1.22,6.0,15.0,1.25,6.0,15.0
1819,E0,4.5,3.5,1.83,4.75,3.6,1.85
1820,E0,1.83,3.5,4.5,1.9,3.6,4.5
1821,E0,1.7,3.75,5.0,1.7,3.9,5.4
1822,E0,1.22,6.5,12.0,1.22,6.5,15.0
1823,E0,5.5,4.2,1.57,6.0,4.2,1.62
1824,E0,2.63,3.25,2.75,2.62,3.3,2.8
1825,E0,2.3,3.4,3.1,2.38,3.5,3.12
1826,E0,2.88,3.4,2.4,3.12,3.5,2.38
1827,E0,1.4,4.5,8.5,1.4,4.8,9.5
1828,E0,9.0,4.75,1.36,9.0,5.0,1.4
1829,E0,2.4,3.4,2.88,2.4,3.4,3.13
1830,E0,2.6,3.3,2.75,2.62,3.4,2.8
1831,E0,1.25,6.0,12.0,1.3,5.75,13.0
1832,E0,1.44,4.33,7.5,1.45,4.6,8.5
1833,E0,3.0,3.3,2.4,3.0,3.3,2.5
1834,E0,1.57,4.0,6.0,1.62,4.0,6.0
1835,E0,3.3,3.4,2.2,3.4,3.5,2.25
1836,E0,1.91,3.6,4.0,1.95,3.5,4.2
1837,E0,2.4,3.4,2.88,2.5,3.5,2.9
1838,E0,1.17,7.5,15.0,1.18,8.0,17.0
1839,E0,2.2,3.3,3.4,2.25,3.25,3.5
